天鳳ID,安定レート,平均和了巡目,和了時ドラ枚数,平均順,ラス率,和了率,和素点,放銃率,放素点,立直率,副露率,試合数
有栖,2026.76,11.097,1.162,2.42,0.207,0.235,5423,0.123,5227,0.195,0.395,851
長村ビッグ,2105.19,11.162,1.227,2.339,0.193,0.235,5581,0.114,4923,0.177,0.383,1500
おっおっおVIΡ,2025.13,11.395,1.214,2.415,0.232,0.237,5497,0.126,5176,0.188,0.375,908
朧夏月,2080.3,11.05,1.112,2.37,0.195,0.25,4805,0.116,4892,0.193,0.389,400
コハク,1957.58,11.543,1.205,2.477,0.245,0.246,5510,0.154,5205,0.213,0.369,687
さくらこ,2074.57,11.372,1.28,2.363,0.203,0.24,5540,0.119,5038,0.15,0.398,1200
芝村矜侍,2034.71,11.113,1.138,2.409,0.2,0.249,5160,0.135,4799,0.187,0.346,504
寂夜霽月,2088.03,11.089,1.246,2.373,0.208,0.25,5521,0.119,5228,0.19,0.422,864
女子更衣室,1883.72,11.544,1.322,2.542,0.242,0.2,5912,0.14,5075,0.208,0.33,500
小鳥遊夜々,2011.83,11.302,1.227,2.441,0.218,0.234,5352,0.114,4942,0.191,0.378,683
断幺ドラ3,1984.74,11.701,1.244,2.447,0.256,0.24,5874,0.165,5270,0.232,0.363,1209
稚児,2089.35,11.069,1.273,2.374,0.205,0.231,5412,0.126,4790,0.189,0.409,361
超獣ＧＩＧＡ,2102.88,11.388,1.175,2.339,0.219,0.269,5349,0.124,5413,0.198,0.388,776
超ヒモリロ1,1994.27,11.322,1.218,2.429,0.209,0.227,5576,0.119,4998,0.183,0.346,3148
超ヒモリロ2,2070.11,11.296,1.14,2.367,0.182,0.242,5274,0.114,4857,0.169,0.394,1041
てんぽいんと,2048.15,11.208,1.234,2.399,0.213,0.239,5587,0.124,5108,0.18,0.412,2002
どらドラ！,2049.88,11.305,1.252,2.386,0.205,0.23,5494,0.118,4787,0.139,0.36,342
長岡大明神,2047.8,11.547,1.251,2.396,0.226,0.238,5747,0.133,5557,0.203,0.375,1226
なんぞこれ～,2090.75,11.286,1.216,2.362,0.206,0.238,5607,0.118,4962,0.202,0.383,1000
ヒゲロング,2005.38,11.267,1.219,2.428,0.239,0.242,5575,0.131,5134,0.18,0.331,1000
ふるねこ@何切る,2064.33,11.22,1.224,2.386,0.2,0.241,5329,0.105,4998,0.162,0.407,420
メタルクウラ,2048.45,11.181,1.205,2.399,0.185,0.238,5427,0.11,5104,0.187,0.345,561
理想雀士,1955.59,11.291,1.268,2.471,0.246,0.219,5673,0.125,5282,0.176,0.367,1000
六分儀ゲンドウ,2045.82,11.453,1.189,2.4,0.219,0.248,5318,0.121,4966,0.195,0.374,557
ロリータな焼肉,2083.08,11.268,1.19,2.428,0.225,0.237,5468,0.136,5224,0.172,0.428,2180
bakase,2035.4,11.327,1.227,2.408,0.216,0.244,5357,0.129,5322,0.172,0.373,1834
kuboowy,1910.63,11.499,1.173,2.518,0.231,0.233,5297,0.148,5261,0.15,0.395,620
HGST,1947.29,11.414,1.274,2.48,0.233,0.21,5898,0.128,4825,0.192,0.306,1606
@馬杉寧香,2062.07,11.257,1.207,2.386,0.211,0.248,5283,0.123,5276,0.185,0.408,735
